ID,PolicyNumber,Status,CancellationReasonCode,CancellationDate,IsMostRecentModel,TotalPremium,CreateTime
B_1,TXFB-100001,Bound,,,1,1425.07,2026-04-05
B_2,TXFB-100002,Withdrawn,,,1,3153.49,2026-04-09
B_3,TXFB-100003,Canceled,INT_01,2026-04-28,1,2528.7,2026-04-02
B_4,TXFB-100004,Bound,,,1,1522.75,2026-04-16
B_5,TXFB-100005,Bound,,,1,2130.6,2026-04-12
B_6,TXFB-100006,Bound,,,0,3021.61,2026-04-04
B_7,TXFB-100007,Bound,,,1,3150.1,2026-04-04
B_8,TXFB-100008,Draft,,,1,981.18,2026-04-10
B_9,TXFB-100009,Bound,,,1,1518.72,2026-04-03
B_10,TXFB-100010,Canceled,INT_04,2026-04-30,1,1505.67,2026-04-06
B_11,TXFB-100011,Bound,,,1,626.13,2026-04-09
B_12,TXFB-100012,Withdrawn,,,1,2294.71,2026-04-15
B_13,TXFB-100013,Canceled,INT_02,2026-04-29,1,3064.46,2026-04-05
B_14,TXFB-100014,Bound,,,1,1644.72,2026-04-14
B_15,TXFB-100015,Bound,,,1,2720.11,2026-04-03
B_16,TXFB-100016,Bound,,,1,2383.1,2026-04-08
B_17,TXFB-100017,Bound,,,0,1626.95,2026-04-15
B_18,TXFB-100018,Bound,,,1,923.18,2026-04-12
B_19,TXFB-100019,Bound,,,1,2627.97,2026-04-01
B_20,TXFB-100020,Bound,,,1,3063.7,2026-04-14
B_21,TXFB-100021,Bound,,,1,2557.56,2026-04-02
B_22,TXFB-100022,Bound,,,1,553.64,2026-04-13
B_23,TXFB-100023,Bound,,,1,1148.7,2026-04-12
B_24,TXFB-100024,Bound,,,1,708.44,2026-04-08
B_25,TXFB-100025,Bound,,,1,2211.16,2026-04-13
B_26,TXFB-100026,Canceled,INT_02,2026-04-11,1,2769.43,2026-04-03
B_27,TXFB-100027,Bound,,,1,831.74,2026-04-12
B_28,TXFB-100028,Bound,,,0,3015.01,2026-04-08
B_29,TXFB-100029,Bound,,,1,2166.53,2026-04-01
B_30,TXFB-100030,Bound,,,1,2569.91,2026-04-11
B_31,TXFB-100031,Bound,,,1,3414.21,2026-04-04
B_32,TXFB-100032,Bound,,,1,751.04,2026-04-11
B_33,TXFB-100033,Bound,,,1,3203.67,2026-04-05
B_34,TXFB-100034,Draft,,,1,878.31,2026-04-05
B_35,TXFB-100035,Withdrawn,,,1,1678.88,2026-04-02
B_36,TXFB-100036,Canceled,INT_01,2026-05-10,1,3054.32,2026-04-10
B_37,TXFB-100037,Bound,,,1,3218.76,2026-04-16
B_38,TXFB-100038,Bound,,,1,2019.12,2026-04-05
B_39,TXFB-100039,Bound,,,1,2282.31,2026-04-16
B_40,TXFB-100040,Bound,,,1,2624.44,2026-04-15
B_41,TXFB-100041,Bound,,,1,2998.28,2026-04-01
B_42,TXFB-100042,Bound,,,1,864.53,2026-04-03
B_43,TXFB-100043,Bound,,,1,2930.21,2026-04-01
B_44,TXFB-100044,Draft,,,1,1943.83,2026-04-09
B_45,TXFB-100045,Bound,,,1,1851.87,2026-04-07
B_46,TXFB-100046,Bound,,,1,1771.7,2026-04-05
B_47,TXFB-100047,Bound,,,1,2027.63,2026-04-14
B_48,TXFB-100048,Bound,,,1,3335.15,2026-04-04
B_49,TXFB-100049,Bound,,,1,2144.61,2026-04-10
B_50,TXFB-100050,Bound,,,1,3359.53,2026-04-08
B_51,TXFB-100051,Withdrawn,,,1,1040.87,2026-04-10
B_52,TXFB-100052,Canceled,,2026-04-18,1,2672.41,2026-04-04
B_53,TXFB-100053,Draft,,,1,2936.72,2026-04-02
B_54,TXFB-100054,Draft,,,0,2537.39,2026-04-08
B_55,TXFB-100055,Bound,,,1,2320.77,2026-04-14
B_56,TXFB-100056,Draft,,,1,2194.44,2026-04-15
B_57,TXFB-100057,Bound,,,1,3082.79,2026-04-03
B_58,TXFB-100058,Bound,,,1,2964.94,2026-04-04
B_59,TXFB-100059,Bound,,,1,866.87,2026-04-16
B_60,TXFB-100060,Bound,,,1,3045.76,2026-04-01
B_61,TXFB-100061,Bound,,,1,1742.21,2026-04-08
B_62,TXFB-100062,Bound,,,1,1261.09,2026-04-05
B_63,TXFB-100063,Canceled,INT_01,2026-04-17,1,3109.31,2026-04-10
B_64,TXFB-100064,Bound,,,1,1796.07,2026-04-14
B_65,TXFB-100065,Bound,,,1,2925.09,2026-04-01
B_66,TXFB-100066,Bound,,,0,1290.21,2026-04-12
B_67,TXFB-100067,Bound,,,1,511.79,2026-04-08
B_68,TXFB-100068,Canceled,INT_07,2026-04-19,1,1986.38,2026-04-14
B_69,TXFB-100069,Bound,,,1,800.68,2026-04-06
B_70,TXFB-100070,Withdrawn,,,0,2763.13,2026-04-03
B_71,TXFB-100071,Canceled,INT_05,2026-04-16,1,1328.23,2026-04-12
B_72,TXFB-100072,Bound,,,1,1830.94,2026-04-03
B_73,TXFB-100073,Bound,,,1,761.1,2026-04-01
B_74,TXFB-100074,Canceled,INT_01,2026-04-19,0,1359.98,2026-04-13
B_75,TXFB-100075,Canceled,INT_03,2026-04-23,1,2844.47,2026-04-16
B_76,TXFB-100076,Canceled,INT_06,2026-04-11,1,954.76,2026-04-02
B_77,TXFB-100077,Canceled,INT_04,2026-04-28,1,2441.48,2026-04-13
B_78,TXFB-100078,Bound,,,1,3252.28,2026-04-12
B_79,TXFB-100079,Bound,,,1,2539.51,2026-04-09
B_80,TXFB-100080,Bound,,,1,2933.07,2026-04-01
B_81,TXFB-100081,Draft,,,0,826.91,2026-04-12
B_82,TXFB-100082,Bound,,,1,1252.2,2026-04-03
B_83,TXFB-100083,Bound,,,1,3183.62,2026-04-12
B_84,TXFB-100084,Bound,,,1,2645.32,2026-04-08
B_85,TXFB-100085,Bound,,,1,2418.66,2026-04-04
B_86,TXFB-100086,Bound,,,1,2491.3,2026-04-11
B_87,TXFB-100087,Canceled,INT_06,2026-04-19,1,1742.6,2026-04-05
B_88,TXFB-100088,Bound,,,0,633.67,2026-04-02
B_89,TXFB-100089,Draft,,,1,2853.32,2026-04-12
B_90,TXFB-100090,Bound,,,1,2536.14,2026-04-11
B_91,TXFB-100091,Bound,,,0,1918.41,2026-04-06
B_92,TXFB-100092,Canceled,INT_99,2026-04-24,0,3199.28,2026-04-15
B_93,TXFB-100093,Canceled,INT_06,2026-05-14,1,1508.48,2026-04-16
B_94,TXFB-100094,Bound,,,1,1382.97,2026-04-06
B_95,TXFB-100095,Canceled,INT_05,2026-04-24,0,3118.39,2026-04-05
B_96,TXFB-100096,Bound,,,1,2890.96,2026-04-03
B_97,TXFB-100097,Bound,,,1,2044.94,2026-04-15
B_98,TXFB-100098,Bound,,,1,892.2,2026-04-02
B_99,TXFB-100099,Bound,,,1,1145.21,2026-04-10
B_100,TXFB-100100,Bound,,,0,2468.68,2026-04-07
B_101,TXFB-100101,Bound,,,1,1655.12,2026-04-02
B_102,TXFB-100102,Bound,,,1,3009.42,2026-04-07
B_103,TXFB-100103,Bound,,,1,3349.87,2026-04-02
B_104,TXFB-100104,Bound,,,1,2916.91,2026-04-11
B_105,TXFB-100105,Draft,,,1,1632.64,2026-04-10
B_106,TXFB-100106,Bound,,,1,2866.06,2026-04-13
B_107,TXFB-100107,Bound,,,1,1554.33,2026-04-16
B_108,TXFB-100108,Canceled,INT_08,2026-04-11,0,1001.3,2026-04-09
B_109,TXFB-100109,Bound,,,1,600.18,2026-04-02
B_110,TXFB-100110,Bound,,,1,1657.15,2026-04-07
B_111,TXFB-100111,Bound,,,1,3210.68,2026-04-10
B_112,TXFB-100112,Bound,,,1,1216.96,2026-04-12
B_113,TXFB-100113,Draft,,,1,1119.54,2026-04-02
B_114,TXFB-100114,Canceled,INT_07,2026-04-27,1,3409.46,2026-04-11
B_115,TXFB-100115,Bound,,,1,575.01,2026-04-09
B_116,TXFB-100116,Draft,,,1,2857.35,2026-04-04
B_117,TXFB-100117,Canceled,,2026-04-30,1,1464.11,2026-04-12
B_118,TXFB-100118,Bound,,,1,612.46,2026-04-14
B_119,TXFB-100119,Draft,,,1,3253.41,2026-04-13
B_120,TXFB-100120,Bound,,,1,918.93,2026-04-15
B_121,TXFB-100121,Canceled,INT_06,2026-04-25,1,2155.34,2026-04-13
B_122,TXFB-100122,Draft,,,1,1322.16,2026-04-11
B_123,TXFB-100123,Bound,,,0,695.58,2026-04-06
B_124,TXFB-100124,Bound,,,1,649.77,2026-04-16
B_125,TXFB-100125,Bound,,,1,846.67,2026-04-16
B_126,TXFB-100126,Bound,,,1,714.1,2026-04-12
B_127,TXFB-100127,Canceled,INT_02,2026-05-02,1,2781.67,2026-04-09
B_128,TXFB-100128,Draft,,,1,1956.7,2026-04-03
B_129,TXFB-100129,Bound,,,1,1528.68,2026-04-14
B_130,TXFB-100130,Bound,,,1,1755.11,2026-04-03
B_131,TXFB-100131,Bound,,,1,3286.84,2026-04-14
B_132,TXFB-100132,Bound,,,1,3232.26,2026-04-06
B_133,TXFB-100133,Bound,,,0,2647.03,2026-04-10
