Location_ID,LocationNumber,BranchID,AddressLine1,State,County,Latitude,Longitude
L_1,2,ORPHAN_ID_999,5276 Main St,TX,Galveston,,
L_2,3,ORPHAN_ID_999,2253 Main St,TX,Cameron,,
L_3,1,ORPHAN_ID_999,251 Main St,TX,Galveston,33.4301,-93.7687
L_4,2,ORPHAN_ID_999,112 Main St,TX,Travis,34.8802,-96.9443
L_5,2,ORPHAN_ID_999,7607 Main St,TX,McLennan,32.1755,-99.3386
L_6,2,ORPHAN_ID_999,7240 Main St,TX,Harris,31.0162,-100.2321
L_7,1,ORPHAN_ID_999,1298 Main St,TX,Cameron,32.343,-97.7095
L_8,2,ORPHAN_ID_999,5222 Main St,TX,McLennan,34.5386,-100.2085
L_9,1,ORPHAN_ID_999,780 Main St,TX,Dallas,33.4429,-99.6792
L_10,3,ORPHAN_ID_999,4837 Main St,TX,Galveston,29.1796,-105.768
L_11,3,ORPHAN_ID_999,2620 Main St,TX,Galveston,30.2634,-100.3993
L_12,1,ORPHAN_ID_999,996 Main St,TX,Nueces,35.8469,-102.0574
L_13,3,ORPHAN_ID_999,5251 Main St,TX,McLennan,33.2634,-106.3274
L_14,2,ORPHAN_ID_999,9313 Main St,TX,Dallas,28.8817,-104.0822
L_15,2,ORPHAN_ID_999,6414 Main St,TX,Cameron,28.2835,-103.7219
L_16,2,ORPHAN_ID_999,8307 Main St,TX,Nueces,29.4289,-98.7125
L_17,1,ORPHAN_ID_999,5973 Main St,TX,Nueces,32.8295,-104.8818
L_18,2,ORPHAN_ID_999,6981 Main St,TX,Travis,28.9393,-97.2809
L_19,2,ORPHAN_ID_999,9859 Main St,TX,Nueces,34.714,-97.7823
L_20,2,ORPHAN_ID_999,7397 Main St,TX,Nueces,34.3169,-96.1232
L_21,1,B_21,7646 Main St,TX,Travis,34.8365,-98.4539
L_22,1,B_22,1367 Main St,TX,Galveston,33.817,-97.8616
L_23,2,B_23,5114 Main St,TX,Galveston,,
L_24,3,B_24,3210 Main St,TX,Harris,32.2815,-105.2782
L_25,3,B_25,3635 Main St,TX,Nueces,36.4333,-102.6222
L_26,2,B_26,7021 Main St,TX,McLennan,28.0409,-105.9837
L_27,1,B_27,492 Main St,TX,Galveston,,
L_28,2,B_28,8376 Main St,TX,Dallas,35.2257,-101.9227
L_29,2,B_29,788 Main St,TX,Cameron,34.6591,-94.8826
L_30,2,B_30,9813 Main St,TX,McLennan,26.1421,-105.766
L_31,2,B_31,721 Main St,TX,Harris,32.4079,-105.019
L_32,2,B_32,1890 Main St,TX,Nueces,28.5587,-102.1418
L_33,3,B_33,823 Main St,TX,Travis,29.6011,-105.9885
L_34,2,B_34,1388 Main St,TX,Harris,28.6622,-104.6196
L_35,3,B_35,4761 Main St,TX,McLennan,33.1845,-99.8484
