PolicyNumber,VIN
TXFB-100001,P52284Z9K4G15V28G
TXFB-100002,4UXVCB4JX0D81HCKY
TXFB-100003,DKK862TP421JS040J
TXFB-100004,7FMPMWK83X98ENUW8
TXFB-100005,YR4YWYUXVP4DZXW48
TXFB-100006,5EWA2HZXE2HP7GLMZ
TXFB-100007,Z5WEH71YSK2F6NYLZ
TXFB-100008,C6LFS82PHKCFBV5LG
TXFB-100009,LTW083W4NCWHB3N
TXFB-100010,NMELHJ2VTWWZA8622
TXFB-100011,80H1KY47BJS6VPY0H
TXFB-100012,1KUTX5TGH9U8JKY3G
TXFB-100013,TX5717ZWW0EFALW3J
TXFB-100014,E1WF8KRUXG3D3GEZ6
TXFB-100015,VZ9GSAJW1J76C35ZU
TXFB-100016,JF8F5GNRP6Z7AWP5X
TXFB-100017,FHFWHC9NRXJ1MDR8L
TXFB-100018,9D74MG647181R0Y6F
TXFB-100019,D32P8B4KGAUVFPCG8
TXFB-100020,U77T6LKH9T5HMLDVL
TXFB-100021,9S8P36HK2BC8CNPEN
TXFB-100022,DMAZ1M1YL2YZ5VDPG
TXFB-100023,J8NBHXYYXGJHRGF2K
TXFB-100024,33U0RZ8RKU8WPPDYW
TXFB-100025,NJR16871G1WAPGNCU
TXFB-100026,3E9GW1V9S8P6XJC7-
TXFB-100027,3D8P3EKFZGH9WN9FU
TXFB-100028,YGTGMKNNWZ7BVC6YJ
TXFB-100029,9V6E89H1ADDS8XR6W
TXFB-100030,H1H2HRMP65AREZ571
TXFB-100031,88A2XJMNA8VTYXHBD
TXFB-100032,LGDEWC8VDTB5N7208
TXFB-100033,YVA4GCGRRMDY4PNXF
TXFB-100034,1NB0C4WE1P3XDEWVE
TXFB-100035,8XCH5KM3AWP19T103
TXFB-100036,B1X5A7HNBFLT28FD4
TXFB-100037,WN7WPV1CAC03U0J4W
TXFB-100038,AH7E13VZUYNYLMM0M
TXFB-100039,6KM2JVBFSTJS8VBZU
TXFB-100040,67J82KEHL2GS96YRG
TXFB-100041,JCJ6URVG2VTZPLVH4
TXFB-100042,53SUW9UJ5ZVFVLDWX
TXFB-100043,AHD7UHN9GFV0HV0J2
TXFB-100044,CRN4ZVPSBU83EAXDM
TXFB-100045,79PRXB49F01MWZN7P
TXFB-100046,KBMRR100MYDT2D1CH
TXFB-100047,FSMC8ZLUHVV1Y2U21
TXFB-100048,R6HFFV23H5YKJCRV5
TXFB-100049,RFZWUB5NXYK0LGPZU
TXFB-100050,9JYK4HAYZPE4G6ZZX
TXFB-100051,DGB5A8DEA7L10W7D8
TXFB-100052,0JHZGNTWX4PH7WRR0
TXFB-100053,TE56SKPVSYVSPXURS
TXFB-100054,XS2N80ZM8UKMLB4YP
TXFB-100055,Y8ZY9WPKH9A0U4P2T
TXFB-100056,AWEUH23RX8KTUC2FA
TXFB-100057,5GF3C5CFF1567ZG1S
TXFB-100058,ZLMYLP8JN9S6M4HCT
TXFB-100059,GNWDL4VCZW5FMNSUU
TXFB-100060,FDNUG4W9LR277U8GU
TXFB-100061,KXTACSJ8UP7YWCUX3
TXFB-100062,08Y43L80CWA687P42
TXFB-100063,NRAKHTB926SMUTDFD
TXFB-100064,N29JC8R8LF5H0F3YL
TXFB-100065,J4HA39JKCN3YHP0DF
TXFB-100066,Z3W18GH0KC510WX6B
TXFB-100067,MF8YXEYUNMGVS4V8V
TXFB-100068,EMLK6JW6BRTU6MFD8
TXFB-100069,BW384N36DGEF3UAXM
TXFB-100070,JVXCD482EV779VNFP
TXFB-100071,5JB55TBB2SL520HGC
TXFB-100072,DSHJGDAT5G9A03W9A
TXFB-100073,VSZFLAWZ3ZVLX63DC
TXFB-100074,PD20223UD8MZUXVMJ
TXFB-100075,T7XAKW1FJHTDEBJRN
TXFB-100076,TJ4MJTCM7WLYDL4ZP
TXFB-100077,YSRNPTLT02EEVL9BS
TXFB-100078,G850AB8L5GMNXPCW8
TXFB-100079,ST2H4J9UKD3BX24EY
TXFB-100080,971CP9KC9AP25KS8G
TXFB-100081,MC3WDJYSW13VZ9KK-
TXFB-100082,SRKEU0KDTZAN1LMBM
TXFB-100083,UAXBRR9D9LVAYFKTA
TXFB-100084,3HWBCFGGUTS62N6KR
TXFB-100085,3RZSAZRXAHGG1FP5U
TXFB-100086,LT5EKH3EF6F17SCHX
TXFB-100087,48DYYF05AA14RD6ZP
TXFB-100088,09F6P9D4CFSD4J0B5
TXFB-100089,2BF7UXB27BN1F6WYL
TXFB-100090,00065WRMDBJKFGDZX
TXFB-100091,4LJYKU77W3V08X9B2
TXFB-100092,32F0CJ7BDA7R01PDB
TXFB-100093,4E8NBVRAP92A5E76U
TXFB-100094,NJADARY165SVZ77UW
TXFB-100095,T80BL6MCZSGAUVE1A
TXFB-100096,K5XMD1J0PC4H43M1V
TXFB-100097,L0GZLAJTYV3EYZGUV
TXFB-100098,30E1VSHJ2MZELL05Y
TXFB-100099,VAWVF8B17F80P65A4
TXFB-100100,G1UCR142P1BK2SL44
TXFB-100101,HX45W3SHNVUZSC5AG
TXFB-100102,V1KK5F7376HMTYSWV
TXFB-100103,4M8HS16X296VUKM4X
TXFB-100104,W289D0GNEKVZAVW8L
TXFB-100105,93NBHXFPZYBWACDMX
TXFB-100106,1AG1FZSUCKRJJH8WF
TXFB-100107,ELSN8F4TWSA9XFMEF
TXFB-100108,0RA36TUCFH37G85PS
TXFB-100109,GMBTDSATBDCPW2JHH
TXFB-100110,7KDHJ9546WMGGJMXJ
TXFB-100111,5KBKRFZ7P4A77THYB
TXFB-100112,RJBZVBGVDLDYP7PF0
TXFB-100113,L7GP4EHXBF3MWAGLC
TXFB-100114,1Z58GSKFXRAKD34HT
TXFB-100115,R71RTFVK694Y2RM
TXFB-100116,HV5N066AL08C5T2
TXFB-100117,3BXATZE87B3S5GJ
TXFB-100118,2WSRVZGA234J5HH8G
TXFB-100119,XEYAFU4NPALHWLXUD
TXFB-100120,YZAE1MLYXXDRVU1XK
TXFB-100121,62PDH6L0HE3FMU18N
TXFB-100122,TRU0TDNKWS1YL5A53
TXFB-100123,J8RA8RKJ618HNJ3ZN
TXFB-100124,ELSPFMAHFXWM2VTPL
TXFB-100125,EYGN9M4AAMJTW35YL
TXFB-100126,AXBHULADSYG393EMH
TXFB-100127,G5M58J9TLXLEM4C
TXFB-100128,XRFMAJT4K8UA1H3ZN
TXFB-100129,SFDGT44YYCV9BRNCD
TXFB-100130,2J64X5R3FCE3ZPJJ5
TXFB-100131,KFTU3B1C5EX3A42FT
TXFB-100132,TYWWWFTMWRKNNKM3D
TXFB-100133,Z7MGCN7638RDLPDF3
TXFB-100134,8CFC5DP4KLM1W19RG
TXFB-100135,U0RVJ6L7KKZXUA6
TXFB-100136,TJFG8WWF3BJ3ULXAN
TXFB-100137,2AEPZDWW7APBG5KN5
TXFB-100138,M4HLSJKUGL9F01G4P
TXFB-100139,9RYPMGY04ZXYN27KR
TXFB-100140,2EUY9M28Z13K4WX2Y
TXFB-100141,U2F6T6EK0Y85RHNXL
TXFB-100142,YNJBZC8SYZM5N3USZ
TXFB-100143,NW7LPTT5TTK2FTFRG
TXFB-100144,0MPL7T74EDMTCB8GP
TXFB-100145,Z9PSS4859UVKRYKXZ
TXFB-100146,TC5UE3NAY3GDRBBN5
TXFB-100147,8F078XJS07YRD65ZU
TXFB-100148,1PNER0T9BC0TCNTXD
TXFB-100149,NYWPSJAK40K02DAXD
TXFB-100150,KBVKRDL8EMT57Z90-
TXFB-100151,0UMZT84MC466AZ5WY
TXFB-100152,1DSURSESKXBZ4FATL
TXFB-100153,HM0CCY3BH1EYPDNC6
TXFB-100154,9GM8VMTV6M3F3PSZW
TXFB-100155,W48SM9JJ4ZNAZFZZA
TXFB-100156,4L7HWVYTH5FS5TNVT
TXFB-100157,8ZA8R6LH18KGJCGLW
TXFB-100158,TS4FUMM125PNSVZC9
TXFB-100159,PCR07J59W1TR6LET2
TXFB-100160,Y2V8081ED64A0USXU
TXFB-100161,VA1CVEJGZERPTX0W6
TXFB-100162,0NSLYJCTYX2LGSVCF
TXFB-100163,G0MHUYF3NZU73AMD6
TXFB-100164,BUT8LHYZ32L3K05JR
TXFB-100165,LW021432VDZLGSVEK
TXFB-100166,JFSE2H6D6LRY4E96C
TXFB-100167,NJ8GBN4652CNK0JAJ
TXFB-100168,BLV2E8FVTWRU2RAL4
TXFB-100169,K1DXDWJJC16ZCTFAD
TXFB-100170,V0BRRFZA0X7NK5L7E
TXFB-100171,64XZT3MVVSVY4882E
TXFB-100172,9VLVH2NZBF0DT0RVY
TXFB-100173,7AHXBRLMW4CSJTXGP
TXFB-100174,KLEVNBNVKK9L8T37P
TXFB-100175,67LUXFEN4LWUJTY2P
TXFB-100176,T0CZD4EGUL3BYLZU3
TXFB-100177,KNRCFD9FKP8HLV3M4
TXFB-100178,MX8SC0CAH9W5R7RAZ
TXFB-100179,RWGXTBDX1DNHXVBT6
TXFB-100180,C79BH5BE8Z0SBNFG6
TXFB-100181,PHMPH4ALF5G03ENSE
TXFB-100182,AZ9UXCLK0KVRPV6U-
TXFB-100183,ZU85C9P3TBTLRJDKV
TXFB-100184,BD1APVBJSWDSD4SCF
TXFB-100185,R26XAS9Z0FDSK3ZJ-
TXFB-100186,YJ55UFGE2E636RTFR
TXFB-100187,9HPLK4J0MWR9AN460
TXFB-100188,U52RT23BR0JT16VGM
TXFB-100189,6R8KH41TRYJLXE94U
TXFB-100190,BH9DCNHG0W440WAP1
TXFB-100191,1N1UUV6GMEEC7Y5GW
TXFB-100192,LNG4AAJBA0BZ4NB3Z
TXFB-100193,N87VS07ATUAM2L3XE
TXFB-100194,8H4EJF3FAP2AYGS9F
TXFB-100195,ZJJ3EXSNGDH9N1CE1
TXFB-100196,G6JTF82ZL1M3HZY6M
TXFB-100197,L78DWYA633XGJGXE6
TXFB-100198,X7YG01CGNSZHSMYDX
TXFB-100199,HRSR0V8ESR3JXG690
TXFB-100200,0CUDZ9N8J0KDFP7S1
TXFB-100201,MXVP8UTJ3D6UCSX4W
TXFB-100202,G4FMFYRHAZEE0DNFP
TXFB-100203,S2NCBWFJ155GYKWMH
TXFB-100204,CVW2H2TW4KPRMXVER
TXFB-100205,2CG1MXDS631J7YLUH
TXFB-100206,2XA6ZZWW4U6RLZWBE
TXFB-100207,K472GMVTV79RLXA49
TXFB-100208,7AYZPAG4S1J6NMPCW
TXFB-100209,3HDWTD7LPSY1Y7UGG
TXFB-100210,6HK003H2VPT29F73U
TXFB-100211,2VYATABZMK9WDHGY9
TXFB-100212,P7XCTTLHVPZWFX43L
TXFB-100213,9N3UYW7LCS06XJE1G
