PolicyNumber,TotalPremium
TXFB-100001,1425.07
TXFB-100002,3136.351082487973
TXFB-100003,2528.7
TXFB-100004,1522.75
TXFB-100005,2130.6
TXFB-100006,3021.61
TXFB-100007,3150.1
TXFB-100008,981.18
TXFB-100009,1518.72
TXFB-100010,1505.67
TXFB-100011,626.13
TXFB-100012,2294.71
TXFB-100013,3064.46
TXFB-100014,1644.72
TXFB-100015,2720.11
TXFB-100016,2383.1
TXFB-100017,1626.95
TXFB-100018,923.18
TXFB-100019,2627.97
TXFB-100020,3063.7
TXFB-100021,2557.56
TXFB-100022,553.64
TXFB-100023,1148.7
TXFB-100024,708.44
TXFB-100025,2211.16
TXFB-100026,2769.43
TXFB-100027,802.8237640309301
TXFB-100028,3015.01
TXFB-100029,2166.53
TXFB-100030,2569.91
TXFB-100031,3414.21
TXFB-100032,751.04
TXFB-100033,3203.67
TXFB-100034,878.31
TXFB-100035,1678.88
TXFB-100036,3054.32
TXFB-100037,3218.76
TXFB-100038,2019.12
TXFB-100039,2282.31
TXFB-100040,2624.44
TXFB-100041,2998.28
TXFB-100042,864.53
TXFB-100043,2930.21
TXFB-100044,1943.83
TXFB-100045,1851.87
TXFB-100046,1771.7
TXFB-100047,2027.63
TXFB-100048,3335.15
TXFB-100049,2144.61
TXFB-100050,3359.53
TXFB-100051,1040.87
TXFB-100052,2672.41
TXFB-100053,2936.72
TXFB-100054,2537.39
TXFB-100055,2320.77
TXFB-100056,2194.44
TXFB-100057,3082.79
TXFB-100058,2964.94
TXFB-100059,866.87
TXFB-100060,3045.76
TXFB-100061,1742.21
TXFB-100062,1261.09
TXFB-100063,3109.31
TXFB-100064,1796.07
TXFB-100065,2925.09
TXFB-100066,1290.21
TXFB-100067,511.79
TXFB-100068,1986.38
TXFB-100069,800.68
TXFB-100070,2763.13
TXFB-100071,1328.23
TXFB-100072,1830.94
TXFB-100073,761.1
TXFB-100074,1359.98
TXFB-100075,2844.47
TXFB-100076,954.76
TXFB-100077,2441.48
TXFB-100078,3252.28
TXFB-100079,2539.51
TXFB-100080,2933.07
TXFB-100081,826.91
TXFB-100082,1252.2
TXFB-100083,3183.62
TXFB-100084,2645.32
TXFB-100085,2418.66
TXFB-100086,2491.3
TXFB-100087,1742.6
TXFB-100088,633.67
TXFB-100089,2853.32
TXFB-100090,2536.14
TXFB-100091,1918.41
TXFB-100092,3155.1643612589583
TXFB-100093,1508.48
TXFB-100094,1382.97
TXFB-100095,3118.39
TXFB-100096,2890.96
TXFB-100097,2044.94
TXFB-100098,892.2
TXFB-100099,1145.21
TXFB-100100,2468.68
TXFB-100101,1655.12
TXFB-100102,3009.42
TXFB-100103,3349.87
TXFB-100104,2916.91
TXFB-100105,1632.64
TXFB-100106,2866.06
TXFB-100107,1554.33
TXFB-100108,1001.3
TXFB-100109,600.18
TXFB-100110,1657.15
TXFB-100111,3210.68
TXFB-100112,1216.96
TXFB-100113,1119.54
TXFB-100114,3409.46
TXFB-100115,575.01
TXFB-100116,2857.35
TXFB-100117,1464.11
TXFB-100118,612.46
TXFB-100119,3155.4289062781813
TXFB-100120,918.93
TXFB-100121,2155.34
TXFB-100122,1322.16
TXFB-100123,695.58
TXFB-100124,649.77
TXFB-100125,846.67
TXFB-100126,714.1
TXFB-100127,2781.67
TXFB-100128,1956.7
TXFB-100129,1528.68
TXFB-100130,1755.11
TXFB-100131,3286.84
TXFB-100132,3232.26
TXFB-100133,2647.03
TXFB-100134,3154.05
TXFB-100135,1458.94
TXFB-100136,1643.33
TXFB-100137,2341.14
TXFB-100138,2370.88
TXFB-100139,1945.1
TXFB-100140,1701.97
TXFB-100141,3458.54
TXFB-100142,2963.37
TXFB-100143,1804.94
TXFB-100144,2681.88
TXFB-100145,1308.69
TXFB-100146,800.51
TXFB-100147,1557.29
TXFB-100148,1708.92
TXFB-100149,549.61
TXFB-100150,2944.38
TXFB-100151,1577.58
